departamento,slug,anio,perdida_ha,cobertura_2000_ha,perdida_total_ha,perdida_pct
Boquerón,boqueron,2001,49505.52,7070870.8,3245165.29,45.89
Boquerón,boqueron,2002,51005.93,7070870.8,3245165.29,45.89
Boquerón,boqueron,2003,49574.5,7070870.8,3245165.29,45.89
Boquerón,boqueron,2004,47093.5,7070870.8,3245165.29,45.89
Boquerón,boqueron,2005,108155.71,7070870.8,3245165.29,45.89
Boquerón,boqueron,2006,49617.64,7070870.8,3245165.29,45.89
Boquerón,boqueron,2007,194829.85,7070870.8,3245165.29,45.89
Boquerón,boqueron,2008,162841.55,7070870.8,3245165.29,45.89
Boquerón,boqueron,2009,172624.98,7070870.8,3245165.29,45.89
Boquerón,boqueron,2010,190462.11,7070870.8,3245165.29,45.89
Boquerón,boqueron,2011,244335.97,7070870.8,3245165.29,45.89
Boquerón,boqueron,2012,243141.04,7070870.8,3245165.29,45.89
Boquerón,boqueron,2013,155681.8,7070870.8,3245165.29,45.89
Boquerón,boqueron,2014,204412.37,7070870.8,3245165.29,45.89
Boquerón,boqueron,2015,166571.82,7070870.8,3245165.29,45.89
Boquerón,boqueron,2016,171006.84,7070870.8,3245165.29,45.89
Boquerón,boqueron,2017,164190.96,7070870.8,3245165.29,45.89
Boquerón,boqueron,2018,162678.74,7070870.8,3245165.29,45.89
Boquerón,boqueron,2019,90046.72,7070870.8,3245165.29,45.89
Boquerón,boqueron,2020,110060.89,7070870.8,3245165.29,45.89
Boquerón,boqueron,2021,97834.62,7070870.8,3245165.29,45.89
Boquerón,boqueron,2022,89720.74,7070870.8,3245165.29,45.89
Boquerón,boqueron,2023,84768.79,7070870.8,3245165.29,45.89
Boquerón,boqueron,2024,110069.36,7070870.8,3245165.29,45.89
Boquerón,boqueron,2025,74933.34,7070870.8,3245165.29,45.89
Presidente Hayes,presidente_hayes,2001,26004.31,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2002,25540.11,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2003,41061.17,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2004,35333.54,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2005,52411.2,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2006,36583.56,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2007,63508.2,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2008,59010.53,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2009,58270.5,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2010,69580.06,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2011,58790.76,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2012,51424.45,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2013,33602.49,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2014,28356.82,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2015,30067.28,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2016,37407.74,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2017,54098.25,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2018,28370.29,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2019,19892.78,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2020,31560.85,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2021,33195.48,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2022,32101.44,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2023,31235.34,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2024,39582.87,4039966.4,1002538.32,24.82
Presidente Hayes,presidente_hayes,2025,25548.3,4039966.4,1002538.32,24.82
Central,central,2001,119.77,75030.2,8724.26,11.63
Central,central,2002,143.54,75030.2,8724.26,11.63
Central,central,2003,299.07,75030.2,8724.26,11.63
Central,central,2004,308.87,75030.2,8724.26,11.63
Central,central,2005,205.76,75030.2,8724.26,11.63
Central,central,2006,229.3,75030.2,8724.26,11.63
Central,central,2007,161.47,75030.2,8724.26,11.63
Central,central,2008,473.15,75030.2,8724.26,11.63
Central,central,2009,246.36,75030.2,8724.26,11.63
Central,central,2010,245.03,75030.2,8724.26,11.63
Central,central,2011,195.81,75030.2,8724.26,11.63
Central,central,2012,310.59,75030.2,8724.26,11.63
Central,central,2013,225.53,75030.2,8724.26,11.63
Central,central,2014,247.17,75030.2,8724.26,11.63
Central,central,2015,125.45,75030.2,8724.26,11.63
Central,central,2016,533.83,75030.2,8724.26,11.63
Central,central,2017,528.83,75030.2,8724.26,11.63
Central,central,2018,236.41,75030.2,8724.26,11.63
Central,central,2019,275.75,75030.2,8724.26,11.63
Central,central,2020,396.08,75030.2,8724.26,11.63
Central,central,2021,447.17,75030.2,8724.26,11.63
Central,central,2022,829.85,75030.2,8724.26,11.63
Central,central,2023,819.8,75030.2,8724.26,11.63
Central,central,2024,665.85,75030.2,8724.26,11.63
Central,central,2025,453.82,75030.2,8724.26,11.63
Asunción,asuncion,2001,2.51,1669.4,262.62,15.73
Asunción,asuncion,2002,2.35,1669.4,262.62,15.73
Asunción,asuncion,2003,3.81,1669.4,262.62,15.73
Asunción,asuncion,2004,10.93,1669.4,262.62,15.73
Asunción,asuncion,2005,3.73,1669.4,262.62,15.73
Asunción,asuncion,2006,3.65,1669.4,262.62,15.73
Asunción,asuncion,2007,1.94,1669.4,262.62,15.73
Asunción,asuncion,2008,12.74,1669.4,262.62,15.73
Asunción,asuncion,2009,8.34,1669.4,262.62,15.73
Asunción,asuncion,2010,5.43,1669.4,262.62,15.73
Asunción,asuncion,2011,17.6,1669.4,262.62,15.73
Asunción,asuncion,2012,7.69,1669.4,262.62,15.73
Asunción,asuncion,2013,0.73,1669.4,262.62,15.73
Asunción,asuncion,2014,5.59,1669.4,262.62,15.73
Asunción,asuncion,2015,7.18,1669.4,262.62,15.73
Asunción,asuncion,2016,47.82,1669.4,262.62,15.73
Asunción,asuncion,2017,21.12,1669.4,262.62,15.73
Asunción,asuncion,2018,15.63,1669.4,262.62,15.73
Asunción,asuncion,2019,12.71,1669.4,262.62,15.73
Asunción,asuncion,2020,1.86,1669.4,262.62,15.73
Asunción,asuncion,2021,27.06,1669.4,262.62,15.73
Asunción,asuncion,2022,27.31,1669.4,262.62,15.73
Asunción,asuncion,2023,5.25,1669.4,262.62,15.73
Asunción,asuncion,2024,2.92,1669.4,262.62,15.73
Asunción,asuncion,2025,6.72,1669.4,262.62,15.73
Alto Paraná,alto_parana,2001,6094.49,464050.4,117410.72,25.3
Alto Paraná,alto_parana,2002,9363.52,464050.4,117410.72,25.3
Alto Paraná,alto_parana,2003,15105.68,464050.4,117410.72,25.3
Alto Paraná,alto_parana,2004,12889.08,464050.4,117410.72,25.3
Alto Paraná,alto_parana,2005,7089.53,464050.4,117410.72,25.3
Alto Paraná,alto_parana,2006,3171.87,464050.4,117410.72,25.3
Alto Paraná,alto_parana,2007,5398.88,464050.4,117410.72,25.3
Alto Paraná,alto_parana,2008,4593.2,464050.4,117410.72,25.3
Alto Paraná,alto_parana,2009,1202.89,464050.4,117410.72,25.3
